id_linea,nombre_linea,modo,id_ramal,nombre_ramal,ramal,provincia,municipio,id_linea_agg,nombre_linea_agg
41,LINEA 159,COL,41,159G,G (por GENERAL VILLEGAS) CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - CRUCE FLORENCIO VARELA (PARTIDO DE FLORENCIO VARELA - GBA,JN,JN,,
41,LINEA 159,COL,41,159H,H EXPRESO -CENTRO CULTURAL KIRCHNER (CIUDAD AUTONOMA DE BUENOS AIRES) - BARRIO GRAFICO (PARTIDO DE AVELLANEDA - PROVINCIA DE BUENOS AIRES),JN,JN,,
41,LINEA 159,COL,41,159I,I (por AU-BSAS-LA PLATA y ACCSUDESTE TTE GRAL JUAN DPERON) -CENTRO CULTURAL KIRCHNER(CABA)-ESTQUILMES(FFCC ROCA)-GBA,JN,JN,,
41,LINEA 159,COL,41,159J,J (por AUBS AS-LA PLATA)-Sobre R-A CENTRO CULTURAL KIRCHNER(CABA)-EST BERAZATEGUI (FFCC ROCA)-GBA,JN,JN,,
41,LINEA 159,COL,41,159K,K (por AUBSAS-LA PLATA) CENTRO CULTURAL KIRCHNER (CABA)-ex-MALTERIA HUDSON (PDO BERAZATEGUI-GBA),JN,JN,,
42,LINEA 464,COL,42,464A,Ramal por Cinturon Ecologico,BUENOS AIRES,PROV,,
42,LINEA 464,COL,42,464B,Troncal por Martin Fierro,BUENOS AIRES,PROV,,
42,LINEA 464,COL,42,464C,Ramalizacion por San Damian,BUENOS AIRES,PROV,,
42,LINEA 464,COL,42,464D,D_FELIX FRIAS,BUENOS AIRES,PROV,,
43,LINEA 505 AMBA ALMIRANTE BROWN,COL,43,505R3,R3-SAN FRANCISCO SOLANO(ALMTE BROWN)-ESTACION BURZACO(ALMTE BROWN)x VASCO NUNEZ DE BALBOA,BUENOS AIRES,ALMIRANTE BROWN,,
43,LINEA 505 AMBA ALMIRANTE BROWN,COL,43,505R4,R4-SAN FRANCISCO SOLANO(ALMTE BROWN)-ESTACION ADROGUE(ALMTE BROWN),BUENOS AIRES,ALMIRANTE BROWN,,
43,LINEA 505 AMBA ALMIRANTE BROWN,COL,43,505R5,R5-SAN FRANCISCO SOLANO(ALMTE BROWN)-ESTACION BURZACO(ALMTE BROWN)x LEROUX,BUENOS AIRES,ALMIRANTE BROWN,,
43,LINEA 505 AMBA ALMIRANTE BROWN,COL,43,505R6,R6-SAN FRANCISCO SOLANO(ALMTE BROWN)-ESTACION CLAYPOLE(ALMTE BROWN),BUENOS AIRES,ALMIRANTE BROWN,,
45,LINEA 2,COL,45,002A,ADUANA (CIUDAD AUTONOMA DE BUENOS AIRES) - LAS HERAS y AVENIDA EVA PERON (PARTIDO DE LA MATANZA - PROVINCIA DE BUENOS AIRES),JN,JN,,
45,LINEA 2,COL,45,002B,CENTRAL COSTANERA SOCIEDAD ANONIMA (CIUDAD AUTONOMA DE BUENOS AIRES) - LAS HERAS y AVENIDA EVA PERON (PARTIDO DE LA MATANZA - PROVINCIA DE BUENOS AIRE,JN,JN,,
46,LINEA 7,COL,46,007A,RETIRO (CIUDAD AUTONOMA DE BUENOS AIRES) - PARQUE NICOLAS AVELLANEDA (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
46,LINEA 7,COL,46,007B,RETIRO (CIUDAD AUTONOMA DE BUENOS AIRES) - BARRIO SAMORE (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
47,LINEA 501 A,COL,47,501A1,RAMAL 1,BUENOS AIRES,ALMIRANTE BROWN,,
47,LINEA 501 A,COL,47,501A2,RAMAL 2,BUENOS AIRES,ALMIRANTE BROWN,,
47,LINEA 501 A,COL,47,501A3,RAMAL 3,BUENOS AIRES,ALMIRANTE BROWN,,
47,LINEA 501 A,COL,47,501A4-1,RAMAL 4,BUENOS AIRES,ALMIRANTE BROWN,,
47,LINEA 501 A,COL,47,501A4-2,RAMAL 5,BUENOS AIRES,ALMIRANTE BROWN,,
47,LINEA 501 A,COL,47,501A5,RAMAL 6,BUENOS AIRES,ALMIRANTE BROWN,,
47,LINEA 501 A,COL,47,501A6,RAMAL 7,BUENOS AIRES,ALMIRANTE BROWN,,
47,LINEA 501 A,COL,47,501A7,RAMAL 8,BUENOS AIRES,ALMIRANTE BROWN,,
48,LINEA 39,COL,48,039A,CHACARITA (CIUDAD AUTONOMA DE BUENOS AIRES) - BARRACAS (CIUDAD AUTONOMA DE BUENOS AIRES),JN,JN,,
